SF1001,Ravichandran,Ettapparajan,8857777575,ravi@gmail.com,Male,WS101,400
SF1002,Baskaran,Sethurajan,9577747744,baskaran@gmail.com,Male,WS105,170
SF1003,Stephen,Owoko,0735627189,steve@gmail.com,Male,WS102,500
SF1004,Samwel,Onyino,0784875635,sam@gmail.com,Male,WS104,80
SF1005,Ronny,Omondi,0878498535,ronny@gmail.com,Male,WS103,115
SF1006,Stephanie,Aggai,0987924874,steph@gmail.com,Female,WS101,280
SF1007,Douglas,Onyil,0873678442,dogu@gmail.com,Male,WS107,530
SF1008,Felix,Omondi,0784957389,felix@gmail.com,Male,WS105,250
SF1009,Steve,Ooeioe,83748374343,jhdhdjfh@uhde.com,Male,WS101,9000
SF1010,Anton,Odongo,084794892,antony@gmail.com,Male,WS003,360
SF1011,Mary,Muthoni,038794924,mary@gmail.com,Male,WS003,230
SF1012,Asenath,Nyabuto,894094735,asenath@gmail.com,Female,WS033,205
